trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1++all+19,12:22:00,12:22:00,10_1,10,,0,0,1
1++all+19,12:22:00,12:22:00,11_1,11,,0,0,1
1++all+19,12:25:00,12:25:00,1_1,12,,1,0,1
1++all+20,12:35:00,12:35:00,1_1,1,,0,1,1
1++all+20,12:35:00,12:35:00,2_1,2,,0,0,1
1++all+20,12:38:00,12:38:00,3_1,3,,0,0,1
1++all+20,12:39:00,12:39:00,4_1,4,,0,0,1
1++all+20,12:40:00,12:40:00,5_1,5,,0,0,1
1++all+20,12:40:00,12:40:00,6_1,6,,0,0,1
1++all+20,12:41:00,12:41:00,7_1,7,,0,0,1
1++all+20,12:41:00,12:41:00,8_1,8,,0,0,1
1++all+20,12:41:00,12:41:00,9_1,9,,0,0,1
1++all+20,12:42:00,12:42:00,10_1,10,,0,0,1
1++all+20,12:42:00,12:42:00,11_1,11,,0,0,1
1++all+20,12:45:00,12:45:00,1_1,12,,1,0,1
1++all+21,13:15:00,13:15:00,1_1,1,,0,1,1
1++all+21,13:15:00,13:15:00,2_1,2,,0,0,1
1++all+21,13:18:00,13:18:00,3_1,3,,0,0,1
1++all+21,13:19:00,13:19:00,4_1,4,,0,0,1
1++all+21,13:20:00,13:20:00,5_1,5,,0,0,1
1++all+21,13:20:00,13:20:00,6_1,6,,0,0,1
1++all+21,13:21:00,13:21:00,7_1,7,,0,0,1
1++all+21,13:21:00,13:21:00,8_1,8,,0,0,1
1++all+21,13:21:00,13:21:00,9_1,9,,0,0,1
1++all+21,13:22:00,13:22:00,10_1,10,,0,0,1
1++all+21,13:22:00,13:22:00,11_1,11,,0,0,1
1++all+21,13:25:00,13:25:00,1_1,12,,1,0,1
1++all+22,13:35:00,13:35:00,1_1,1,,0,1,1
1++all+22,13:35:00,13:35:00,2_1,2,,0,0,1
1++all+22,13:38:00,13:38:00,3_1,3,,0,0,1
1++all+22,13:39:00,13:39:00,4_1,4,,0,0,1
1++all+22,13:40:00,13:40:00,5_1,5,,0,0,1
1++all+22,13:40:00,13:40:00,6_1,6,,0,0,1
1++all+22,13:41:00,13:41:00,7_1,7,,0,0,1
1++all+22,13:41:00,13:41:00,8_1,8,,0,0,1
1++all+22,13:41:00,13:41:00,9_1,9,,0,0,1
1++all+22,13:42:00,13:42:00,10_1,10,,0,0,1
1++all+22,13:42:00,13:42:00,11_1,11,,0,0,1
1++all+22,13:45:00,13:45:00,1_1,12,,1,0,1
1++all+23,13:55:00,13:55:00,1_1,1,,0,1,1
1++all+23,13:55:00,13:55:00,2_1,2,,0,0,1
1++all+23,13:58:00,13:58:00,3_1,3,,0,0,1
1++all+23,13:59:00,13:59:00,4_1,4,,0,0,1
1++all+23,14:00:00,14:00:00,5_1,5,,0,0,1
1++all+23,14:00:00,14:00:00,6_1,6,,0,0,1
1++all+23,14:01:00,14:01:00,7_1,7,,0,0,1
1++all+23,14:01:00,14:01:00,8_1,8,,0,0,1
1++all+23,14:01:00,14:01:00,9_1,9,,0,0,1
1++all+23,14:02:00,14:02:00,10_1,10,,0,0,1
1++all+23,14:02:00,14:02:00,11_1,11,,0,0,1
1++all+23,14:05:00,14:05:00,1_1,12,,1,0,1
1++all+24,14:15:00,14:15:00,1_1,1,,0,1,1
1++all+24,14:15:00,14:15:00,2_1,2,,0,0,1
1++all+24,14:18:00,14:18:00,3_1,3,,0,0,1
1++all+24,14:19:00,14:19:00,4_1,4,,0,0,1
1++all+24,14:20:00,14:20:00,5_1,5,,0,0,1
1++all+24,14:20:00,14:20:00,6_1,6,,0,0,1
1++all+24,14:21:00,14:21:00,7_1,7,,0,0,1
1++all+24,14:21:00,14:21:00,8_1,8,,0,0,1
1++all+24,14:21:00,14:21:00,9_1,9,,0,0,1
1++all+24,14:22:00,14:22:00,10_1,10,,0,0,1
1++all+24,14:22:00,14:22:00,11_1,11,,0,0,1
1++all+24,14:25:00,14:25:00,1_1,12,,1,0,1
1++all+25,14:35:00,14:35:00,1_1,1,,0,1,1
1++all+25,14:35:00,14:35:00,2_1,2,,0,0,1
1++all+25,14:38:00,14:38:00,3_1,3,,0,0,1
1++all+25,14:39:00,14:39:00,4_1,4,,0,0,1
1++all+25,14:40:00,14:40:00,5_1,5,,0,0,1
1++all+25,14:40:00,14:40:00,6_1,6,,0,0,1
1++all+25,14:41:00,14:41:00,7_1,7,,0,0,1
1++all+25,14:41:00,14:41:00,8_1,8,,0,0,1
1++all+25,14:41:00,14:41:00,9_1,9,,0,0,1
1++all+25,14:42:00,14:42:00,10_1,10,,0,0,1
1++all+25,14:42:00,14:42:00,11_1,11,,0,0,1
1++all+25,14:45:00,14:45:00,1_1,12,,1,0,1
1++all+26,14:55:00,14:55:00,1_1,1,,0,1,1
1++all+26,14:55:00,14:55:00,2_1,2,,0,0,1
1++all+26,14:58:00,14:58:00,3_1,3,,0,0,1
1++all+26,14:59:00,14:59:00,4_1,4,,0,0,1
1++all+26,15:00:00,15:00:00,5_1,5,,0,0,1
1++all+26,15:00:00,15:00:00,6_1,6,,0,0,1
1++all+26,15:01:00,15:01:00,7_1,7,,0,0,1
1++all+26,15:01:00,15:01:00,8_1,8,,0,0,1
1++all+26,15:01:00,15:01:00,9_1,9,,0,0,1
1++all+26,15:02:00,15:02:00,10_1,10,,0,0,1
1++all+26,15:02:00,15:02:00,11_1,11,,0,0,1
1++all+26,15:05:00,15:05:00,1_1,12,,1,0,1
1++all+27,15:15:00,15:15:00,1_1,1,,0,1,1
1++all+27,15:15:00,15:15:00,2_1,2,,0,0,1
1++all+27,15:18:00,15:18:00,3_1,3,,0,0,1
1++all+27,15:19:00,15:19:00,4_1,4,,0,0,1
1++all+27,15:20:00,15:20:00,5_1,5,,0,0,1
1++all+27,15:20:00,15:20:00,6_1,6,,0,0,1
1++all+27,15:21:00,15:21:00,7_1,7,,0,0,1
1++all+27,15:21:00,15:21:00,8_1,8,,0,0,1
1++all+27,15:21:00,15:21:00,9_1,9,,0,0,1
1++all+27,15:22:00,15:22:00,10_1,10,,0,0,1
1++all+27,15:22:00,15:22:00,11_1,11,,0,0,1
1++all+27,15:25:00,15:25:00,1_1,12,,1,0,1
1++all+28,15:35:00,15:35:00,1_1,1,,0,1,1
1++all+28,15:35:00,15:35:00,2_1,2,,0,0,1
1++all+28,15:38:00,15:38:00,3_1,3,,0,0,1
1++all+28,15:39:00,15:39:00,4_1,4,,0,0,1
1++all+28,15:40:00,15:40:00,5_1,5,,0,0,1
1++all+28,15:40:00,15:40:00,6_1,6,,0,0,1
1++all+28,15:41:00,15:41:00,7_1,7,,0,0,1
1++all+28,15:41:00,15:41:00,8_1,8,,0,0,1
1++all+28,15:41:00,15:41:00,9_1,9,,0,0,1
1++all+28,15:42:00,15:42:00,10_1,10,,0,0,1
1++all+28,15:42:00,15:42:00,11_1,11,,0,0,1
1++all+28,15:45:00,15:45:00,1_1,12,,1,0,1
1++all+29,16:05:00,16:05:00,1_1,1,,0,1,1
1++all+29,16:05:00,16:05:00,2_1,2,,0,0,1
1++all+29,16:08:00,16:08:00,3_1,3,,0,0,1
1++all+29,16:09:00,16:09:00,4_1,4,,0,0,1
1++all+29,16:10:00,16:10:00,5_1,5,,0,0,1
1++all+29,16:10:00,16:10:00,6_1,6,,0,0,1
1++all+29,16:11:00,16:11:00,7_1,7,,0,0,1
1++all+29,16:11:00,16:11:00,8_1,8,,0,0,1
1++all+29,16:11:00,16:11:00,9_1,9,,0,0,1
1++all+29,16:12:00,16:12:00,10_1,10,,0,0,1
1++all+29,16:12:00,16:12:00,11_1,11,,0,0,1
1++all+29,16:15:00,16:15:00,1_1,12,,1,0,1
1++all+30,16:35:00,16:35:00,1_1,1,,0,1,1
1++all+30,16:35:00,16:35:00,2_1,2,,0,0,1
1++all+30,16:38:00,16:38:00,3_1,3,,0,0,1
1++all+30,16:39:00,16:39:00,4_1,4,,0,0,1
1++all+30,16:40:00,16:40:00,5_1,5,,0,0,1
1++all+30,16:40:00,16:40:00,6_1,6,,0,0,1
1++all+30,16:41:00,16:41:00,7_1,7,,0,0,1
1++all+30,16:41:00,16:41:00,8_1,8,,0,0,1
1++all+30,16:41:00,16:41:00,9_1,9,,0,0,1
1++all+30,16:42:00,16:42:00,10_1,10,,0,0,1
1++all+30,16:42:00,16:42:00,11_1,11,,0,0,1
1++all+30,16:45:00,16:45:00,1_1,12,,1,0,1
1++all+31,16:55:00,16:55:00,1_1,1,,0,1,1
1++all+31,16:55:00,16:55:00,2_1,2,,0,0,1
1++all+31,16:58:00,16:58:00,3_1,3,,0,0,1
1++all+31,16:59:00,16:59:00,4_1,4,,0,0,1
1++all+31,17:00:00,17:00:00,5_1,5,,0,0,1
1++all+31,17:00:00,17:00:00,6_1,6,,0,0,1
1++all+31,17:01:00,17:01:00,7_1,7,,0,0,1
1++all+31,17:01:00,17:01:00,8_1,8,,0,0,1
1++all+31,17:01:00,17:01:00,9_1,9,,0,0,1
1++all+31,17:02:00,17:02:00,10_1,10,,0,0,1
1++all+31,17:02:00,17:02:00,11_1,11,,0,0,1
1++all+31,17:05:00,17:05:00,1_1,12,,1,0,1
1++all+32,17:15:00,17:15:00,1_1,1,,0,1,1
1++all+32,17:15:00,17:15:00,2_1,2,,0,0,1
1++all+32,17:18:00,17:18:00,3_1,3,,0,0,1
1++all+32,17:19:00,17:19:00,4_1,4,,0,0,1
1++all+32,17:20:00,17:20:00,5_1,5,,0,0,1
1++all+32,17:20:00,17:20:00,6_1,6,,0,0,1
1++all+32,17:21:00,17:21:00,7_1,7,,0,0,1
1++all+32,17:21:00,17:21:00,8_1,8,,0,0,1
1++all+32,17:21:00,17:21:00,9_1,9,,0,0,1
1++all+32,17:22:00,17:22:00,10_1,10,,0,0,1
1++all+32,17:22:00,17:22:00,11_1,11,,0,0,1
1++all+32,17:25:00,17:25:00,1_1,12,,1,0,1
1++all+33,17:35:00,17:35:00,1_1,1,,0,1,1
1++all+33,17:35:00,17:35:00,2_1,2,,0,0,1
1++all+33,17:38:00,17:38:00,3_1,3,,0,0,1
1++all+33,17:39:00,17:39:00,4_1,4,,0,0,1
1++all+33,17:40:00,17:40:00,5_1,5,,0,0,1
1++all+33,17:40:00,17:40:00,6_1,6,,0,0,1
1++all+33,17:41:00,17:41:00,7_1,7,,0,0,1
1++all+33,17:41:00,17:41:00,8_1,8,,0,0,1
1++all+33,17:41:00,17:41:00,9_1,9,,0,0,1
1++all+33,17:42:00,17:42:00,10_1,10,,0,0,1
1++all+33,17:42:00,17:42:00,11_1,11,,0,0,1
1++all+33,17:45:00,17:45:00,1_1,12,,1,0,1
1++all+34,17:55:00,17:55:00,1_1,1,,0,1,1
1++all+34,17:55:00,17:55:00,2_1,2,,0,0,1
1++all+34,17:58:00,17:58:00,3_1,3,,0,0,1
1++all+34,17:59:00,17:59:00,4_1,4,,0,0,1
1++all+34,18:00:00,18:00:00,5_1,5,,0,0,1
1++all+34,18:00:00,18:00:00,6_1,6,,0,0,1
1++all+34,18:01:00,18:01:00,7_1,7,,0,0,1
